Time,TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Plug,LogId
1900-01-01 13:23:46.191,0.182125,0.297244,0.446981,0,15
1900-01-01 13:23:47.191,0.182892,0.297795,0.447606,0,15
1900-01-01 13:23:48.191,0.183769,0.299848,0.451492,0,15
1900-01-01 13:23:49.191,0.184005,0.300221,0.450399,0,15
1900-01-01 13:23:50.191,0.183338,0.29916,0.44993,0,15
1900-01-01 13:23:51.191,0.182299,0.296929,0.446302,0,15
1900-01-01 13:23:52.191,0.183427,0.298394,0.448314,0,15
1900-01-01 13:23:53.191,0.179327,0.292613,0.439503,0,15
1900-01-01 13:23:54.191,0.169629,0.27358,0.41365,0,15
1900-01-01 13:23:55.191,0.164489,0.263778,0.399887,0,15
1900-01-01 13:23:56.191,0.162221,0.260202,0.395349,0,15
1900-01-01 13:23:57.191,0.158147,0.252773,0.383984,0,15
1900-01-01 13:23:58.191,0.157664,0.252505,0.384471,0,15
1900-01-01 13:23:59.191,0.160919,0.257398,0.391325,0,15
1900-01-01 13:24:00.191,0.166269,0.267999,0.405262,0,15
1900-01-01 13:24:01.191,0.13808,0.218382,0.334676,0,15
1900-01-01 13:24:02.191,0.138836,0.216708,0.333519,0,15
1900-01-01 13:24:03.191,0.15298,0.240145,0.367208,0,15
1900-01-01 13:24:04.191,0.161959,0.258973,0.394008,0,15
1900-01-01 13:24:05.191,0.162258,0.263342,0.399915,0,15
1900-01-01 13:24:06.191,0.155637,0.254705,0.387448,0,15
1900-01-01 13:24:07.191,0.148276,0.240334,0.368246,0,15
1900-01-01 13:24:08.191,0.143246,0.229135,0.350781,0,15
1900-01-01 13:24:09.191,0.141923,0.227896,0.349605,0,15
1900-01-01 13:24:10.191,0.123311,0.192797,0.298441,0,15
1900-01-01 13:24:11.191,0.103664,0.165826,0.256428,0,15
1900-01-01 13:24:12.191,0.09823,0.156359,0.243731,0,15
1900-01-01 13:24:13.191,0.09949,0.158606,0.24691,0,15
1900-01-01 13:24:14.191,0.106179,0.172321,0.266286,0,15
1900-01-01 13:24:15.191,0.115036,0.188518,0.289006,0,15
1900-01-01 13:24:16.191,0.134441,0.227098,0.342393,0,15
1900-01-01 13:24:17.191,0.145241,0.25103,0.373226,0,15
1900-01-01 13:24:18.191,0.145709,0.256049,0.380126,0,15
1900-01-01 13:24:19.191,0.14175,0.249024,0.369386,0,15
1900-01-01 13:24:20.191,0.136578,0.240203,0.358462,0,15
1900-01-01 13:24:21.191,0.103748,0.177602,0.268757,0,15
1900-01-01 13:24:22.191,0.107103,0.170709,0.263907,0,15
1900-01-01 13:24:23.191,0.116779,0.193401,0.294785,0,15
1900-01-01 13:24:24.191,0.126928,0.212087,0.320858,0,15
1900-01-01 13:24:25.191,0.146974,0.257451,0.384664,0,15
1900-01-01 13:24:26.191,0.150607,0.269679,0.398353,0,15
1900-01-01 13:24:27.191,0.143514,0.253497,0.375642,0,15
1900-01-01 13:24:28.191,0.142196,0.254185,0.374384,0,15
1900-01-01 13:24:29.191,0.127915,0.245186,0.353464,0,15
1900-01-01 13:24:30.191,0.134683,0.261467,0.375229,0,15
1900-01-01 13:24:31.191,0.131512,0.253466,0.364847,0,15
1900-01-01 13:24:32.191,0.13074,0.251922,0.363974,0,15
1900-01-01 13:24:33.191,0.151773,0.300541,0.428947,0,15
1900-01-01 13:24:34.191,0.156183,0.314838,0.446742,0,15
1900-01-01 13:24:35.191,0.151332,0.305041,0.433081,0,15
1900-01-01 13:24:36.191,0.164516,0.333566,0.471429,0,15
1900-01-01 13:24:37.191,0.157412,0.324163,0.456362,0,15
1900-01-01 13:24:38.191,0.1408,0.277282,0.39715,0,15
1900-01-01 13:24:39.191,0.165592,0.332511,0.472504,0,15
1900-01-01 13:24:40.191,0.17404,0.359797,0.506193,0,15
1900-01-01 13:24:41.191,0.175195,0.362501,0.510511,0,15
1900-01-01 13:24:42.191,0.151762,0.306285,0.434046,0,15
1900-01-01 13:24:43.191,0.167177,0.338906,0.479376,0,15
1900-01-01 13:24:44.191,0.173289,0.356878,0.503125,0,15
1900-01-01 13:24:45.191,0.16587,0.339347,0.478549,0,15
1900-01-01 13:24:46.191,0.165046,0.339777,0.479523,0,15
1900-01-01 13:24:47.191,0.167634,0.339068,0.479725,0,15
1900-01-01 13:24:48.191,0.16314,0.334207,0.472375,0,15
1900-01-01 13:24:49.191,0.163166,0.332238,0.470418,0,15
1900-01-01 13:24:50.191,0.163565,0.335225,0.473873,0,15
1900-01-01 13:24:51.191,0.173483,0.353108,0.498972,0,15
1900-01-01 13:24:52.191,0.183107,0.380353,0.536015,0,15
1900-01-01 13:24:53.191,0.1797,0.371784,0.523383,0,15
1900-01-01 13:24:54.191,0.182797,0.379686,0.533149,0,15
1900-01-01 13:24:55.191,0.185254,0.383004,0.539782,0,15
1900-01-01 13:24:56.191,0.179631,0.374189,0.525955,0,15
1900-01-01 13:24:57.191,0.181065,0.372524,0.526525,0,15
1900-01-01 13:24:58.191,0.178067,0.368649,0.519506,0,15
1900-01-01 13:24:59.191,0.182776,0.377817,0.532901,0,15
1900-01-01 13:25:00.191,0.183511,0.37809,0.533443,0,15
1900-01-01 13:25:01.191,0.180288,0.370408,0.521922,0,15
1900-01-01 13:25:02.191,0.181332,0.375821,0.528665,0,15
1900-01-01 13:25:03.191,0.179537,0.367232,0.518587,0,15
1900-01-01 13:25:04.191,0.177374,0.366129,0.514857,0,15
1900-01-01 13:25:05.191,0.181448,0.370655,0.522923,0,15
1900-01-01 13:25:06.191,0.176507,0.362323,0.509547,0,15
1900-01-01 13:25:07.191,0.172958,0.352069,0.496418,0,15
1900-01-01 13:25:08.191,0.173578,0.352342,0.498256,0,15
1900-01-01 13:25:09.191,0.182414,0.373501,0.527122,0,15
1900-01-01 13:25:10.191,0.179259,0.367274,0.517834,0,15
1900-01-01 13:25:11.191,0.178954,0.366675,0.518091,0,15
1900-01-01 13:25:12.191,0.183349,0.374987,0.528822,0,15
1900-01-01 13:25:13.191,0.185659,0.382668,0.540251,0,15
1900-01-01 13:25:14.191,0.157601,0.410364,0.542547,0,15
1900-01-01 13:25:15.191,0.128388,0.426567,0.537421,0,15
1900-01-01 13:25:16.191,0.117614,0.449269,0.549539,0,15
1900-01-01 13:25:17.191,0.118643,0.455223,0.555603,0,15
1900-01-01 13:25:18.191,0.122014,0.473101,0.575272,0,15
1900-01-01 13:25:19.191,0.113141,0.429507,0.525413,0,15
1900-01-01 13:25:20.191,0.113844,0.424692,0.521288,0,15
1900-01-01 13:25:21.191,0.118065,0.450955,0.551496,0,15
1900-01-01 13:25:22.191,0.118491,0.455218,0.554537,0,15
1900-01-01 13:25:23.191,0.119016,0.453113,0.553719,0,15
1900-01-01 13:25:24.191,0.116438,0.442979,0.541179,0,15
1900-01-01 13:25:25.191,0.118622,0.456594,0.556236,0,15
1900-01-01 13:25:26.191,0.122077,0.471253,0.572084,0,15
1900-01-01 13:25:27.191,0.119284,0.462364,0.561244,0,15
1900-01-01 13:25:28.191,0.117199,0.447406,0.545285,0,15
1900-01-01 13:25:29.191,0.116753,0.442932,0.539644,0,15
1900-01-01 13:25:30.191,0.11124,0.410527,0.503235,0,15
1900-01-01 13:25:31.191,0.108169,0.392045,0.482554,0,15
1900-01-01 13:25:32.191,0.10957,0.395358,0.486891,0,15
1900-01-01 13:25:33.191,0.109266,0.389499,0.480157,0,15
1900-01-01 13:25:34.191,0.110615,0.402772,0.496005,0,15
1900-01-01 13:25:35.191,0.111513,0.409739,0.502959,0,15
1900-01-01 13:25:36.191,0.114947,0.424692,0.520608,0,15
1900-01-01 13:25:37.191,0.118134,0.441704,0.540361,0,15
1900-01-01 13:25:38.191,0.125463,0.478766,0.582834,0,15
1900-01-01 13:25:39.191,0.125768,0.482961,0.587115,0,15
1900-01-01 13:25:40.191,0.126377,0.483408,0.588686,0,15
1900-01-01 13:25:41.191,0.126608,0.485718,0.59079,0,15
1900-01-01 13:25:42.191,0.128272,0.494875,0.602053,0,15
1900-01-01 13:25:43.191,0.129716,0.498125,0.60413,0,15
1900-01-01 13:25:44.191,0.130656,0.504808,0.61226,0,15
1900-01-01 13:25:45.191,0.131989,0.513703,0.621696,0,15
1900-01-01 13:25:46.191,0.131548,0.51093,0.619031,0,15
1900-01-01 13:25:47.191,0.130945,0.507806,0.615632,0,15
1900-01-01 13:25:48.191,0.131863,0.513367,0.622789,0,15
1900-01-01 13:25:49.191,0.129679,0.501805,0.608769,0,15
1900-01-01 13:25:50.191,0.129427,0.500792,0.608411,0,15
