Time,TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Plug,Plug_future,LogId
1900-01-01 16:31:49.717,0.070581,0.071633,0.126051,0,0,4
1900-01-01 16:31:50.717,0.071815,0.071906,0.126235,0,0,4
1900-01-01 16:31:51.717,0.071668,0.071927,0.126153,0,0,4
1900-01-01 16:31:52.717,0.072119,0.072384,0.126851,0,0,4
1900-01-01 16:31:53.717,0.07097,0.071497,0.126786,0,0,4
1900-01-01 16:31:54.717,0.071227,0.071628,0.125969,0,0,4
1900-01-01 16:31:55.717,0.071789,0.072069,0.126465,0,0,4
1900-01-01 16:31:56.717,0.070907,0.071728,0.126373,0,0,4
1900-01-01 16:31:57.717,0.071027,0.07177,0.126263,0,0,4
1900-01-01 16:31:58.717,0.071101,0.071429,0.1263,0,0,4
1900-01-01 16:31:59.717,0.071327,0.07219,0.126465,0,0,4
1900-01-01 16:32:00.717,0.070865,0.071549,0.126474,0,0,4
1900-01-01 16:32:01.717,0.071211,0.071801,0.126373,0,0,4
1900-01-01 16:32:02.717,0.071211,0.07187,0.126263,0,0,4
1900-01-01 16:32:03.717,0.071731,0.072095,0.126281,0,0,4
1900-01-01 16:32:04.717,0.071374,0.072132,0.126327,0,0,4
1900-01-01 16:32:05.717,0.071306,0.072179,0.126235,0,0,4
1900-01-01 16:32:06.717,0.072041,0.071544,0.126529,0,0,4
1900-01-01 16:32:07.717,0.071463,0.072332,0.126088,0,0,4
1900-01-01 16:32:08.717,0.071757,0.071817,0.126143,0,0,4
1900-01-01 16:32:09.717,0.070875,0.071864,0.126153,0,0,4
1900-01-01 16:32:10.717,0.071936,0.071597,0.125923,0,0,4
1900-01-01 16:32:11.717,0.071594,0.071912,0.126465,0,0,4
1900-01-01 16:32:12.717,0.072119,0.07146,0.126208,0,0,4
1900-01-01 16:32:13.717,0.071589,0.071817,0.126033,0,0,4
1900-01-01 16:32:14.717,0.071521,0.071733,0.126134,0,0,4
1900-01-01 16:32:15.717,0.071337,0.071429,0.12641,0,0,4
1900-01-01 16:32:16.717,0.071337,0.071786,0.1263,0,0,4
1900-01-01 16:32:17.717,0.07119,0.072368,0.126143,0,0,4
1900-01-01 16:32:18.717,0.071747,0.072074,0.126391,0,0,4
1900-01-01 16:32:19.717,0.071594,0.072316,0.126566,0,0,4
1900-01-01 16:32:20.717,0.071489,0.072547,0.126382,0,0,4
1900-01-01 16:32:21.717,0.071558,0.072174,0.126061,0,0,4
1900-01-01 16:32:22.717,0.0715,0.072851,0.125831,0,0,4
1900-01-01 16:32:23.717,0.071027,0.071812,0.125859,0,0,4
1900-01-01 16:32:24.717,0.070975,0.071849,0.126116,0,0,4
1900-01-01 16:32:25.717,0.071458,0.072363,0.12618,0,0,4
1900-01-01 16:32:26.717,0.071762,0.071822,0.125748,0,0,4
1900-01-01 16:32:27.717,0.071085,0.071828,0.125785,0,0,4
1900-01-01 16:32:28.717,0.071132,0.071765,0.126318,0,0,4
1900-01-01 16:32:29.717,0.070838,0.071502,0.126382,0,0,4
1900-01-01 16:32:30.717,0.070408,0.07157,0.12607,0,0,4
1900-01-01 16:32:31.717,0.071573,0.071838,0.126125,0,0,4
1900-01-01 16:32:32.717,0.070644,0.071938,0.126107,0,0,4
1900-01-01 16:32:33.717,0.071064,0.07145,0.126208,0,0,4
1900-01-01 16:32:34.717,0.071626,0.071996,0.126033,0,0,4
1900-01-01 16:32:35.717,0.070907,0.071266,0.126428,0,0,4
1900-01-01 16:32:36.717,0.071888,0.071376,0.126502,0,0,4
1900-01-01 16:32:37.717,0.071054,0.071471,0.126382,0,0,4
1900-01-01 16:32:38.717,0.072009,0.072122,0.126162,0,0,4
1900-01-01 16:32:39.717,0.071453,0.072185,0.12641,0,0,4
1900-01-01 16:32:40.717,0.071369,0.072358,0.126153,0,0,4
