Time,TS outlet pressure (Mean),Pump outlet pressure (Mean),Differential pressure (Mean),Flow rate (Mean),Tank temperature (Mean),Temperature TS inlet (Mean),Temperature TS outlet (Mean),Bypass temperature (Mean),Temperature TS outlet (Std Dev),Temperature TS inlet (Std Dev),Bypass temperature (Std Dev),Tank temperature (Std Dev),Differential pressure (Std Dev),Pressure before pump (Std Dev),Pressure after pump (Std Dev),Flow rate (Std Dev),Plug,Anomaly,Plug_future
1900-01-01 10:09:08.848,0.746183,0.000648,0.212898,1561.63015,5.554204,0.130116,0.04356,22.003065,0.249569,0.680541,0.245452,1.079703,0.017039,0.061544,0.005887,12.133102,0,0,0.0
1900-01-01 10:09:09.349,0.747042,0.000868,0.213796,1562.646516,5.563373,0.129592,0.048538,22.004113,0.2638,0.742998,0.263642,1.081393,0.016844,0.062492,0.00573,11.447029,0,0,0.0
1900-01-01 10:09:09.848,0.743584,0.00069,0.212366,1563.519476,5.564996,0.162352,0.058212,21.996804,0.265664,0.737973,0.245278,1.086902,0.016849,0.05971,0.005891,11.948978,0,0,0.0
1900-01-01 10:09:10.344,0.746135,0.000419,0.213542,1562.332621,5.519427,0.14914,0.060695,22.014313,0.25846,0.66547,0.249475,1.045541,0.017534,0.059786,0.005825,12.325665,0,0,0.0
1900-01-01 10:09:10.843,0.742911,0.000437,0.211813,1561.90378,5.538693,0.187341,0.064525,21.99391,0.253596,0.661684,0.261106,1.103164,0.017669,0.060473,0.006049,13.875366,0,0,0.0
1900-01-01 10:09:11.347,0.745522,0.00056,0.212813,1561.527808,5.545468,0.205552,0.077665,22.00429,0.260163,0.695334,0.24303,1.097619,0.01649,0.061078,0.005876,12.17207,0,0,0.0
1900-01-01 10:09:11.848,0.748122,0.000658,0.213888,1559.061003,5.560491,0.206091,0.084432,22.003589,0.273406,0.712656,0.244775,1.068291,0.017249,0.054663,0.006035,13.1687,0,0,0.0
1900-01-01 10:09:12.344,0.744758,0.000917,0.212801,1560.973311,5.520221,0.256843,0.089276,21.993405,0.251038,0.681122,0.251067,1.025612,0.016747,0.055192,0.005768,12.272176,0,0,0.0
1900-01-01 10:09:12.843,0.744678,0.000384,0.212716,1561.83764,5.486615,0.213644,0.086621,22.018902,0.243674,0.673404,0.240464,1.118149,0.017277,0.054541,0.00562,10.737387,0,0,0.0
1900-01-01 10:09:13.347,0.744918,0.000612,0.212631,1562.070385,5.478542,0.26571,0.104491,22.006634,0.262906,0.750661,0.249945,1.077493,0.017832,0.057141,0.00573,11.283968,0,0,0.0
