Time,Temperature TS outlet (Mean),Temperature TS inlet (Mean),Bypass temperature (Mean),Tank temperature (Mean),TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Flow rate (Mean),LogId,Plug,Plug_future
1900-01-01 15:34:29.330,21.961292,-0.031648,22.512432,-1.337022,0.085088,0.114492,0.177436,1.018981,8,0,0.0
1900-01-01 15:34:30.330,21.953941,-0.02771,22.504293,-1.344503,0.086049,0.115401,0.178162,1.023696,8,0,0.0
1900-01-01 15:34:31.330,21.955123,-0.031254,22.509413,-1.330591,0.085177,0.11454,0.177647,0.79267,8,0,0.0
1900-01-01 15:34:32.330,21.957223,-0.038211,22.507837,-1.348047,0.086353,0.114813,0.177482,0.632367,8,0,0.0
1900-01-01 15:34:33.330,21.960636,-0.034929,22.511644,-1.333872,0.086443,0.11548,0.178235,0.825674,8,0,0.0
1900-01-01 15:34:34.330,21.961817,-0.02561,22.514139,-1.342403,0.085986,0.114046,0.177519,1.226432,8,0,0.0
1900-01-01 15:34:35.330,21.946197,-0.027185,22.507969,-1.332822,0.085886,0.114944,0.178759,0.830388,8,0,0.0
1900-01-01 15:34:36.330,21.950528,-0.031123,22.511251,-1.350672,0.087031,0.114382,0.178685,0.731378,8,0,0.0
1900-01-01 15:34:37.330,21.955516,-0.034142,22.509413,-1.347784,0.086789,0.116015,0.178869,0.670085,8,0,0.0
1900-01-01 15:34:38.330,21.951447,-0.03296,22.50915,-1.344634,0.085429,0.113862,0.176526,0.769096,8,0,0.0
1900-01-01 15:34:39.330,21.947641,-0.02141,22.509413,-1.352641,0.085293,0.114078,0.177666,0.684229,8,0,0.0
1900-01-01 15:34:40.330,21.952366,-0.040573,22.514664,-1.346209,0.086017,0.11465,0.177353,0.967118,8,0,0.0
1900-01-01 15:34:41.330,21.95696,-0.054092,22.512301,-1.350147,0.086532,0.115259,0.178575,1.014266,8,0,0.0
1900-01-01 15:34:42.330,21.954598,-0.037685,22.507837,-1.361697,0.086595,0.114818,0.178676,1.17457,8,0,0.0
1900-01-01 15:34:43.330,21.946984,-0.032829,22.504556,-1.345291,0.086936,0.115642,0.178024,0.79267,8,0,0.0
1900-01-01 15:34:44.330,21.950266,-0.023248,22.502324,-1.358153,0.086926,0.115784,0.178823,0.655941,8,0,0.0
1900-01-01 15:34:45.330,21.950922,-0.030073,22.501536,-1.351328,0.087661,0.115768,0.179172,0.990692,8,0,0.0
