Time,Temperature TS outlet (Mean),Temperature TS inlet (Mean),Bypass temperature (Mean),Tank temperature (Mean),TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Flow rate (Mean),Plug,Plug_future
1900-01-01 12:53:12.552,22.171441,0.006678,21.928791,-0.402529,0.154661,0.242587,0.368173,0.91054,0,0.0
1900-01-01 12:53:13.552,22.17131,-0.075093,21.93181,-0.426941,0.155957,0.246782,0.372757,1.084988,0,0.0
1900-01-01 12:53:14.552,22.171704,-0.13022,21.93076,-0.45201,0.144118,0.226284,0.343082,1.089703,0,0.0
1900-01-01 12:53:15.552,22.175248,-0.16999,21.928922,-0.472222,0.14321,0.222693,0.338305,0.816244,0,0.0
1900-01-01 12:53:16.552,22.17026,-0.230236,21.922358,-0.491385,0.150408,0.233556,0.354181,0.995407,0,0.0
1900-01-01 12:53:17.552,22.170523,-0.269481,21.926822,-0.505034,0.143336,0.224042,0.341732,0.849248,0,0.0
1900-01-01 12:53:18.552,22.169473,-0.295731,21.924065,-0.516847,0.159874,0.252195,0.382037,0.849248,0,0.0
1900-01-01 12:53:19.552,22.176561,-0.324476,21.918158,-0.534303,0.137025,0.214723,0.325158,1.080273,0,0.0
1900-01-01 12:53:20.552,22.179317,-0.345608,21.918683,-0.547034,0.130546,0.197612,0.303384,0.816244,0,0.0
1900-01-01 12:53:21.552,22.17341,-0.36359,21.918683,-0.587196,0.144711,0.22337,0.341502,0.948259,0,0.0
1900-01-01 12:53:22.552,22.174329,-0.367659,21.913563,-0.640877,0.159354,0.250258,0.377728,0.971833,0,0.0
1900-01-01 12:53:23.552,22.17026,-0.395222,21.915926,-0.709389,0.16534,0.263856,0.39749,0.811529,0,0.0
1900-01-01 12:53:24.552,22.179055,-0.422786,21.909887,-0.787089,0.140968,0.221391,0.335108,0.934114,0,0.0
1900-01-01 12:53:25.552,22.177217,-0.432367,21.909362,-0.844707,0.144795,0.224189,0.34062,1.014266,0,0.0
1900-01-01 12:53:26.552,22.179055,-0.480275,21.907393,-0.897863,0.157291,0.247296,0.374338,1.254721,0,0.0
1900-01-01 12:53:27.552,22.176298,-0.544852,21.905424,-0.954037,0.15916,0.251261,0.378619,0.915255,0,0.0
1900-01-01 12:53:28.552,22.178923,-0.617436,21.906212,-1.002337,0.163308,0.259572,0.389846,0.811529,0,0.0
1900-01-01 12:53:29.552,22.180236,-0.688838,21.906212,-1.051687,0.162998,0.258627,0.389974,0.995407,0,0.0
1900-01-01 12:53:30.552,22.176167,-0.768641,21.90188,-1.090274,0.16577,0.263631,0.396405,0.868107,0,0.0
1900-01-01 12:53:31.552,22.179711,-0.82193,21.898598,-1.127942,0.164374,0.261368,0.39454,0.990692,0,0.0
1900-01-01 12:53:32.552,22.177348,-0.861044,21.89781,-1.156292,0.16293,0.25786,0.389653,1.000122,0,0.0
1900-01-01 12:53:33.552,22.177217,-0.908295,21.89571,-1.175717,0.162725,0.257451,0.388146,1.033125,0,0.0
1900-01-01 12:53:34.552,22.17958,-0.952003,21.899517,-1.201048,0.161938,0.257236,0.386998,0.688944,0,0.0
1900-01-01 12:53:35.552,22.177742,-0.985867,21.894528,-1.240291,0.16,0.251229,0.379685,1.217003,0,0.0
1900-01-01 12:53:36.552,22.179186,-1.01763,21.901486,-1.303554,0.169435,0.26854,0.404169,1.127421,0,0.0
1900-01-01 12:53:37.552,22.177086,-1.051231,21.899517,-1.384665,0.160037,0.253004,0.380851,0.853963,0,0.0
1900-01-01 12:53:38.552,22.185486,-1.055825,21.898467,-1.482708,0.165424,0.262712,0.395229,1.042555,0,0.0
1900-01-01 12:53:39.552,22.181417,-1.067769,21.900304,-1.586001,0.161554,0.254658,0.383369,1.217003,0,0.0
1900-01-01 12:53:40.552,22.18168,-1.108196,21.899254,-1.697694,0.160231,0.250972,0.378656,1.018981,0,0.0
1900-01-01 12:53:41.552,22.182336,-1.17146,21.896497,-1.803744,0.164715,0.260774,0.392933,1.084988,0,0.0
1900-01-01 12:53:42.552,22.185486,-1.223568,21.894791,-1.891812,0.163922,0.26036,0.392271,0.79267,0,0.0
1900-01-01 12:53:43.552,22.184305,-1.305602,21.895316,-1.976992,0.171152,0.271359,0.40902,1.023696,0,0.0
1900-01-01 12:53:44.552,22.184568,-1.403518,21.896366,-2.055348,0.170354,0.270094,0.40607,0.811529,0,0.0
1900-01-01 12:53:45.552,22.185093,-1.511409,21.900173,-2.139347,0.169566,0.270041,0.406162,0.981262,0,0.0
1900-01-01 12:53:46.552,22.186405,-1.609587,21.896235,-2.212059,0.169535,0.268813,0.40472,1.113277,0,0.0
1900-01-01 12:53:47.552,22.187849,-1.70829,21.89676,-2.282409,0.171593,0.273412,0.410958,1.033125,0,0.0
1900-01-01 12:53:48.552,22.18693,-1.784024,21.901092,-2.332677,0.169965,0.26897,0.405372,0.853963,0,0.0
1900-01-01 12:53:49.552,22.189293,-1.874852,21.901092,-2.376252,0.171997,0.272966,0.41173,0.971833,0,0.0
1900-01-01 12:53:50.552,22.185224,-1.972636,21.899911,-2.422451,0.165277,0.291342,0.423205,1.089703,0,0.0
1900-01-01 12:53:51.552,22.184568,-2.018969,21.904768,-2.451982,0.161785,0.299648,0.428249,1.061414,0,0.0
1900-01-01 12:53:52.552,22.184699,-2.08709,21.90503,-2.472982,0.161722,0.301812,0.430316,1.000122,0,0.0
1900-01-01 12:53:53.552,22.183911,-2.150617,21.90293,-2.495426,0.161633,0.300095,0.427284,0.8021,0,0.0
1900-01-01 12:53:54.552,22.187718,-2.188418,21.901092,-2.511438,0.163292,0.304074,0.432952,0.971833,0,0.0
1900-01-01 12:53:55.552,22.188768,-2.224251,21.906212,-2.519313,0.161654,0.30021,0.427945,1.070844,0,0.0
1900-01-01 12:53:56.552,22.191393,-2.246301,21.905293,-2.526007,0.159087,0.295621,0.421808,0.608793,0,0.0
